,Stock,Company Name,Sector,Shares Held or Principal Amt,ESG Risk,Market Value,% of Portfolio
48,NEE,NextEra Energy Inc.,UTILITIES AND TELECOMMUNICATIONS,"147,832,499",28.0,"$12,522,893,000",0.33
49,MCD,McDonald's Corporation,CONSUMER DISCRETIONARY,"50,402,155",25.0,"$12,463,445,000",0.33
50,T,AT&T Inc.,UTILITIES AND TELECOMMUNICATIONS,"690,397,816.65",22.0,"$12,321,826,000",0.33
51,COST,Costco Wholesale Corporation,CONSUMER STAPLES,"31,340,294",24.0,"$18,047,310,000",0.48
52,BMY,Bristol-Myers Squibb Company,HEALTH CARE,"167,240,428",23.0,"$12,213,568,000",0.32
53,NKE,Nike Inc.,CONSUMER DISCRETIONARY,"90,518,050",17.0,"$12,180,110,000",0.32
54,AMGN,Amgen Inc.,HEALTH CARE,"50,028,170",22.0,"$12,097,811,000",0.32
55,UNP,Union Pacific Corporation,TRANSPORTS,"44,012,870",25.0,"$12,024,758,000",0.32
56,MDT,Medtronic plc.,HEALTH CARE,"107,991,652",23.0,"$11,981,674,000",0.32
57,PLD,Prologis Inc.,REAL ESTATE,"73,174,710",9.0,"$11,816,250,000",0.31
58,UPS,United Parcel Service Inc.,TRANSPORTS,"53,873,217",20.0,"$11,553,650,000",0.31
59,SPGI,S&P Global Inc.,COMMUNICATIONS,"27,047,127",14.0,"$11,094,191,000",0.29
60,COP,ConocoPhillips,ENERGY,"107,537,783",35.0,"$10,753,779,000",0.28
61,ELV,NaN,HEALTH CARE,"21,505,858",11.0,"$10,564,106,000",0.28
62,NFLX,Netflix Inc.,COMMUNICATIONS,"27,947,337",16.0,"$10,468,794,000",0.28
63,AZN,Astrazeneca PLC,HEALTH CARE,"157,391,316",NaN,"$10,398,844,248",0.27
64,ORCL,Oracle Corporation,INFORMATION TECHNOLOGY,"119,421,495",14.0,"$9,879,741,000",0.26
65,RTX,NaN,INDUSTRIALS,"98,391,208",,"$9,747,615,000",0.26
66,AMAT,Applied Materials Inc.,INFORMATION TECHNOLOGY,"71,465,562",12.0,"$9,419,164,000",0.25
67,CVS,CVS Health Corporation,CONSUMER STAPLES,"92,966,610",23.0,"$9,409,150,000",0.25
68,LOW,Lowe's Companies Inc.,CONSUMER DISCRETIONARY,"45,259,386",11.0,"$9,150,994,000",0.24
69,PM,Philip Morris International Inc,CONSUMER STAPLES,"96,511,777",24.0,"$9,066,315,000",0.24
70,PYPL,PayPal Holdings Inc.,COMMUNICATIONS,"78,254,181",16.0,"$9,050,097,000",0.24
71,SCHW,Charles Schwab Corporation (The),FINANCE,"107,183,424",24.0,"$9,036,635,000",0.24
72,NOW,ServiceNow Inc.,INFORMATION TECHNOLOGY,"16,092,858",16.0,"$8,961,950,000",0.24
73,C,Citigroup Inc.,FINANCE,"164,865,664",27.0,"$8,803,824,000",0.23
74,AMT,American Tower Corporation (REIT),UTILITIES AND TELECOMMUNICATIONS,"35,039,848",11.0,"$8,802,710,000",0.23
75,MS,Morgan Stanley,FINANCE,"99,877,472",22.0,"$8,729,291,000",0.23
76,IBM,International Business Machines Corporation,INFORMATION TECHNOLOGY,"66,591,742",15.0,"$8,658,261,000",0.23
77,BMY,Bristol-Myers Squibb Company,HEALTH CARE,"167,240,428",23.0,"$12,213,568,000",0.32
78,CAT,Caterpillar Inc.,INDUSTRIALS,"37,494,751",34.0,"$8,354,582,000",0.22
79,AXP,American Express Company,FINANCE,"44,518,166",18.0,"$8,324,896,000",0.22
80,TGT,Target Corporation,CONSUMER DISCRETIONARY,"38,819,141",15.0,"$8,238,197,000",0.22
81,LIN,Linde plc,MATERIALS,"25,679,214",,"$8,202,713,000",0.22
82,HON,Honeywell International Inc.,INDUSTRIALS,"42,068,861",29.0,"$8,185,760,000",0.22
83,ISRG,Intuitive Surgical Inc.,HEALTH CARE,"26,660,811",24.0,"$8,043,033,000",0.21
84,ZTS,Zoetis Inc. Class A,HEALTH CARE,"41,766,559",,"$7,876,755,000",0.21
85,LMT,Lockheed Martin Corporation,INDUSTRIALS,"17,800,565",28.0,"$7,857,169,000",0.21
86,BLK,BlackRock Inc.,FINANCE,"10,279,628",21.0,"$7,855,383,000",0.21
87,GILD,Gilead Sciences Inc.,HEALTH CARE,"126,932,703",22.0,"$7,845,710,372",0.21
88,GS,Goldman Sachs Group Inc. (The),FINANCE,"23,560,140",26.0,"$7,777,203,000",0.21
89,ADP,Automatic Data Processing Inc.,INFORMATION TECHNOLOGY,"33,637,473",14.0,"$7,653,871,000",0.2
90,DE,Deere & Company,INDUSTRIALS,"18,243,075",17.0,"$7,579,271,000",0.2
91,NEM,Newmont Mining Corporation,MATERIALS,"92,339,052",20.0,"$7,336,337,000",0.19
92,MMC,Marsh & McLennan Companies Inc.,FINANCE,"42,015,515",19.0,"$7,160,283,000",0.19
93,CI,Cigna Corporation,FINANCE,"29,350,591",12.0,"$7,032,694,000",0.19
94,PUK,Prudential Public Limited Company,FINANCE,"278,930,313",NaN,"$7,003,940,159",0.18
95,SBUX,Starbucks Corporation,CONSUMER DISCRETIONARY,"76,603,120",25.0,"$6,968,586,000",0.18
96,ADI,Analog Devices Inc.,INFORMATION TECHNOLOGY,"41,336,429",24.0,"$6,827,951,000",0.18
97,MU,Micron Technology Inc.,INFORMATION TECHNOLOGY,"87,124,926",17.0,"$6,786,162,000",0.18
98,EW,Edwards Lifesciences Corporation,HEALTH CARE,"57,026,422",19.0,"$6,713,150,000",0.18
99,REGN,Regeneron Pharmaceuticals Inc.,HEALTH CARE,"9,584,951",18.0,"$6,694,319,000",0.18
100,EQIX,Equinix Inc.,INFORMATION TECHNOLOGY,"8,849,901",12.0,"$6,563,263,000",0.17
101,PSA,Public Storage,REAL ESTATE,"16,712,601",12.0,"$6,522,594,000",0.17
102,MMM,3M Company,INDUSTRIALS,"42,996,030",34.0,"$6,401,249,000",0.17
103,BKNG,Booking Holdings Inc.,CONSUMER DISCRETIONARY,"2,675,058",22.0,"$6,282,242,000",0.17
104,MO,Altria Group Inc.,CONSUMER STAPLES,"119,840,218",24.0,"$6,261,650,000",0.17
105,SYK,Stryker Corporation,HEALTH CARE,"23,380,795",29.0,"$6,250,856,000",0.17
106,GE,General Electric Company,INDUSTRIALS,"68,258,059",41.0,"$6,245,612,000",0.16
107,VRTX,Vertex Pharmaceuticals Incorporated,HEALTH CARE,"23,916,254",23.0,"$6,241,425,000",0.16
108,LRCX,Lam Research Corporation,INFORMATION TECHNOLOGY,"11,285,008",14.0,"$6,066,932,000",0.16
109,BA,The Boeing Company,INDUSTRIALS,"31,674,287",35.0,"$6,065,627,000",0.16
110,CCI,Crown Castle International Corp. (REIT),UTILITIES AND TELECOMMUNICATIONS,"32,770,835",13.0,"$6,049,496,000",0.16
111,MDLZ,Mondelez International Inc.,CONSUMER STAPLES,"95,055,488",24.0,"$5,967,581,000",0.16
112,CB,Chubb Limited,FINANCE,"27,637,747",24.0,"$5,911,714,000",0.16
113,HUM,Humana Inc.,HEALTH CARE,"12,733,518",22.0,"$5,783,945,881",0.15
114,CME,CME Group Inc.,FINANCE,"24,243,229",15.0,"$5,766,492,000",0.15
115,FIS,Fidelity National Information Services Inc.,FINANCE,"56,825,524",18.0,"$5,706,419,000",0.15
116,DUK,Duke Energy Corporation (Holding Company),UTILITIES AND TELECOMMUNICATIONS,"50,982,694",28.0,"$5,692,727,000",0.15
117,PNC,PNC Financial Services Group Inc. (The),FINANCE,"30,563,752",22.0,"$5,637,484,000",0.15
118,BSX,Boston Scientific Corporation,HEALTH CARE,"126,433,288",26.0,"$5,599,731,000",0.15
119,EOG,EOG Resources Inc.,ENERGY,"46,646,390",36.0,"$5,561,649,000",0.15
120,CDNS,Cadence Design Systems Inc.,INFORMATION TECHNOLOGY,"33,427,221",12.0,"$5,497,441,000",0.15
121,BDX,Becton Dickinson and Company,HEALTH CARE,"21,181,773.63",27.0,"$5,496,926,000",0.15
122,CSX,CSX Corporation,TRANSPORTS,"146,774,071",20.0,"$5,496,690,000",0.15
123,TFC,NaN,FINANCE,"96,437,111",,"$5,467,984,000",0.14
124,ICE,Intercontinental Exchange Inc.,FINANCE,"41,154,951",16.0,"$5,437,392,000",0.14
125,GM,General Motors Company,CONSUMER DISCRETIONARY,"121,865,221",31.0,"$5,330,386,000",0.14
126,FCX,Freeport-McMoRan Inc.,MATERIALS,"106,995,979",32.0,"$5,321,977,000",0.14
127,TMUS,T-Mobile US Inc.,UTILITIES AND TELECOMMUNICATIONS,"41,175,577",26.0,"$5,284,883,000",0.14
128,BKNG,Booking Holdings Inc.,CONSUMER DISCRETIONARY,"2,675,058",22.0,"$6,282,242,000",0.17
129,MO,Altria Group Inc.,CONSUMER STAPLES,"119,840,218",24.0,"$6,261,650,000",0.17
130,PXD,Pioneer Natural Resources Company,ENERGY,"20,778,522",37.0,"$5,195,255,000",0.14
131,USB,U.S. Bancorp,FINANCE,"97,457,184",30.0,"$5,179,851,000",0.14
132,PGR,Progressive Corporation (The),FINANCE,"44,454,227",21.0,"$5,067,338,000",0.13
133,MRVL,Marvell Technology Group Ltd.,INFORMATION TECHNOLOGY,"70,469,759",NaN,"$5,053,388,000",0.13
134,CL,Colgate-Palmolive Company,CONSUMER STAPLES,"66,575,004",22.0,"$5,048,384,000",0.13
135,SO,Southern Company (The),UTILITIES AND TELECOMMUNICATIONS,"69,533,043",33.0,"$5,041,842,000",0.13
136,EFA,iShares MSCI EAFE,FINANCE,"73,335,569",NaN,"$5,033,753,456",0.13
137,IDXX,IDEXX Laboratories Inc.,HEALTH CARE,"9,162,031",21.0,"$5,012,179,000",0.13
138,SRE,Sempra Energy,UTILITIES AND TELECOMMUNICATIONS,"29,741,620",25.0,"$5,000,160,000",0.13
139,MRNA,Moderna Inc.,HEALTH CARE,"28,671,935",,"$4,939,029,000",0.13
140,MET,MetLife Inc.,FINANCE,"70,186,350",15.0,"$4,932,697,000",0.13
141,BX,The Blackstone Group L.P. Representing Limited Partnership Interests,FINANCE,"38,236,401",NaN,"$4,853,728,000",0.13
142,WM,Waste Management Inc.,INDUSTRIALS,"30,615,210",17.0,"$4,852,507,000",0.13
143,ATVI,Activision Blizzard Inc,INFORMATION TECHNOLOGY,"60,540,901",19.0,"$4,849,935,000",0.13
144,AON,Aon plc Class A (UK),FINANCE,"14,259,360",,"$4,643,277,000",0.12
145,F,Ford Motor Company,CONSUMER DISCRETIONARY,"272,690,686",30.0,"$4,611,199,000",0.12
146,CHTR,Charter Communications Inc.,COMMUNICATIONS,"8,443,120",27.0,"$4,605,892,000",0.12
147,ITW,Illinois Tool Works Inc.,INDUSTRIALS,"21,940,856",20.0,"$4,594,412,000",0.12
148,NSC,Norfolk Southern Corporation,TRANSPORTS,"16,092,611",23.0,"$4,589,937,000",0.12
149,D,Dominion Energy Inc.,UTILITIES AND TELECOMMUNICATIONS,"53,851,257",25.0,"$4,575,742,000",0.12
150,TJX,TJX Companies Inc. (The),CONSUMER DISCRETIONARY,"75,277,576",14.0,"$4,560,317,000",0.12
151,EL,Estee Lauder Companies Inc. (The),CONSUMER STAPLES,"16,697,243",26.0,"$4,546,997,000",0.12
152,SLB,Schlumberger N.V.,ENERGY,"109,621,382",22.0,"$4,528,461,000",0.12
153,SNPS,Synopsys Inc.,INFORMATION TECHNOLOGY,"13,533,731",13.0,"$4,510,386,000",0.12
154,SPG,Simon Property Group Inc.,REAL ESTATE,"34,082,714",14.0,"$4,483,922,000",0.12
155,PXD,Pioneer Natural Resources Company,ENERGY,"20,778,522",37.0,"$5,195,255,000",0.14
156,USB,U.S. Bancorp,FINANCE,"97,457,184",30.0,"$5,179,851,000",0.14
157,AIG,American International Group Inc.,FINANCE,"71,191,626",25.0,"$4,468,699,000",0.12
158,WELL,Welltower Inc.,REAL ESTATE,"46,244,127",12.0,"$4,445,910,000",0.12
159,NXPI,NXP Semiconductors N.V.,INFORMATION TECHNOLOGY,"23,626,179",22.0,"$4,372,733,000",0.12
160,ITOT,iShares Core S&P Total U.S. Stock Market,FINANCE,"43,090,076",NaN,"$4,349,512,000",0.11
161,HCA,HCA Healthcare Inc.,HEALTH CARE,"17,302,042",28.0,"$4,336,237,000",0.11
162,SHW,Sherwin-Williams Company (The),MATERIALS,"17,303,618",29.0,"$4,319,329,000",0.11
163,DXCM,DexCom Inc.,HEALTH CARE,"33,749,320",24.0,"$4,316,538,000",0.11
164,MPC,Marathon Petroleum Corporation,ENERGY,"50,435,282",29.0,"$4,312,219,000",0.11
165,KLAC,KLA-Tencor Corporation,INFORMATION TECHNOLOGY,"11,598,754",17.0,"$4,245,843,000",0.11
166,ETN,Eaton Corporation PLC,CONSUMER DISCRETIONARY,"27,959,368",18.0,"$4,243,113,000",0.11
167,KR,Kroger Company (The),CONSUMER STAPLES,"72,945,025",21.0,"$4,184,855,000",0.11
168,MCO,Moody's Corporation,FINANCE,"12,374,168",11.0,"$4,175,168,000",0.11
169,FISV,Fiserv Inc.,INFORMATION TECHNOLOGY,"41,143,679",18.0,"$4,171,970,000",0.11
170,PAYX,Paychex Inc.,INFORMATION TECHNOLOGY,"30,565,936",18.0,"$4,171,334,000",0.11
171,ILMN,Illumina Inc.,HEALTH CARE,"11,730,763",11.0,"$4,098,728,000",0.11
172,CTSH,Cognizant Technology Solutions Corporation,INFORMATION TECHNOLOGY,"45,653,375",14.0,"$4,093,738,000",0.11
173,DG,Dollar General Corporation,CONSUMER DISCRETIONARY,"18,305,477",17.0,"$4,075,351,000",0.11
174,AEP,American Electric Power Company Inc.,UTILITIES AND TELECOMMUNICATIONS,"40,661,817",26.0,"$4,056,828,000",0.11
175,A,Agilent Technologies Inc.,INFORMATION TECHNOLOGY,"30,082,335",15.0,"$3,980,792,000",0.11
176,COF,Capital One Financial Corporation,FINANCE,"30,294,568",23.0,"$3,977,373,000",0.11
177,VLO,Valero Energy Corporation,ENERGY,"39,071,890",30.0,"$3,967,359,000",0.1
178,FTNT,Fortinet Inc.,INFORMATION TECHNOLOGY,"57,807,160",19.0,"$3,951,005,000",0.1
179,ED,Consolidated Edison Inc.,UTILITIES AND TELECOMMUNICATIONS,"41,576,107",23.0,"$3,936,426,000",0.1
180,JCI,Johnson Controls International plc,INDUSTRIALS,"59,426,849",15.0,"$3,896,620,000",0.1
181,NOC,Northrop Grumman Corporation,INDUSTRIALS,"8,661,928",27.0,"$3,873,788,000",0.1
182,AIG,American International Group Inc.,FINANCE,"71,191,626",25.0,"$4,468,699,000",0.12
183,WMB,Williams Companies Inc. (The),ENERGY,"122,018,488",24.0,"$3,808,197,010",0.1
184,FDX,FedEx Corporation,TRANSPORTS,"16,452,030",20.0,"$3,806,835,000",0.1
185,PRU,Prudential Financial Inc.,FINANCE,"32,183,900",16.0,"$3,803,171,000",0.1
186,ADM,Archer-Daniels-Midland Company,CONSUMER STAPLES,"41,829,477",36.0,"$3,775,525,000",0.1
187,DLR,Digital Realty Trust Inc.,REAL ESTATE,"26,493,301",13.0,"$3,756,752,000",0.1
188,EMR,Emerson Electric Company,INDUSTRIALS,"38,296,210",29.0,"$3,754,941,000",0.1
189,PANW,Palo Alto Networks Inc.,INFORMATION TECHNOLOGY,"6,022,054",NaN,"$3,748,788,000",0.1
190,GD,General Dynamics Corporation,INDUSTRIALS,"15,457,200",35.0,"$3,727,966,000",0.1
191,O,Realty Income Corporation,REAL ESTATE,"53,378,865",14.0,"$3,699,156,000",0.1
192,EXC,Exelon Corporation,UTILITIES AND TELECOMMUNICATIONS,"77,171,172",24.0,"$3,675,664,000",0.1
193,HPQ,HP Inc.,INFORMATION TECHNOLOGY,"101,201,027",11.0,"$3,673,596,000",0.1
194,APD,Air Products and Chemicals Inc.,MATERIALS,"14,555,663",11.0,"$3,637,608,000",0.1
195,AVB,AvalonBay Communities Inc.,REAL ESTATE,"14,592,225",11.0,"$3,624,273,000",0.1
196,ECL,Ecolab Inc.,MATERIALS,"20,319,742",24.0,"$3,587,655,000",0.09
197,ADSK,Autodesk Inc.,INFORMATION TECHNOLOGY,"16,668,342",16.0,"$3,572,858,000",0.09
198,MCK,McKesson Corporation,HEALTH CARE,"11,565,309",15.0,"$3,540,487,000",0.09
199,CNC,Centene Corporation,HEALTH CARE,"41,847,249",21.0,"$3,523,119,000",0.09
200,CTVA,NaN,MATERIALS,"61,242,962",,"$3,520,247,000",0.09
201,MSI,Motorola Solutions Inc.,INFORMATION TECHNOLOGY,"14,355,573",14.0,"$3,476,921,000",0.09
202,NUE,Nucor Corporation,MATERIALS,"23,345,048",32.0,"$3,470,242,000",0.09
203,EEM,iShares MSCI Emerging Index Fund,FINANCE,"76,501,400",NaN,"$3,454,037,000",0.09
204,OXY,Occidental Petroleum Corporation,ENERGY,"60,601,448",43.0,"$3,438,527,000",0.09
205,TRV,The Travelers Companies Inc.,FINANCE,"18,742,665",21.0,"$3,424,847,000",0.09
206,IQV,IQVIA Holdings Inc.,HEALTH CARE,"14,778,836",19.0,"$3,417,016,000",0.09
207,MSCI,MSCI Inc,FINANCE,"6,775,772",12.0,"$3,407,399,000",0.09
208,WMB,Williams Companies Inc. (The),ENERGY,"122,018,488",24.0,"$3,808,197,010",0.1
209,MCHP,Microchip Technology Incorporated,INFORMATION TECHNOLOGY,"44,943,215",31.0,"$3,377,035,000",0.09
210,KMB,Kimberly-Clark Corporation,CONSUMER STAPLES,"27,386,495",22.0,"$3,372,921,000",0.09
211,CMG,Chipotle Mexican Grill Inc.,CONSUMER DISCRETIONARY,"2,130,266",24.0,"$3,370,144,000",0.09
212,ROP,Roper Technologies Inc.,INDUSTRIALS,"7,123,411",23.0,"$3,363,890,000",0.09
213,XEL,Xcel Energy Inc.,UTILITIES AND TELECOMMUNICATIONS,"46,215,607",24.0,"$3,335,380,000",0.09
214,SPY(PUT),NaN,FINANCE,"7,375,800",NaN,"$3,331,206,000",0.09
215,WST,West Pharmaceutical Services Inc.,HEALTH CARE,"8,081,739",,"$3,319,253,000",0.09
216,SQ,Square Inc. Class A,FINANCE,"24,430,844",NaN,"$3,312,820,000",0.09
217,EQR,Equity Residential of Beneficial Interest,REAL ESTATE,"36,824,112",11.0,"$3,311,223,000",0.09
218,TIP,iShares TIPS Bond,FINANCE,"27,300,219",NaN,"$3,305,237,514",0.09
219,APH,Amphenol Corporation,INFORMATION TECHNOLOGY,"43,858,502",22.0,"$3,304,738,000",0.09
220,IEFA,iShares Core MSCI EAFE,FINANCE,"47,364,718",NaN,"$3,292,321,000",0.09
221,GIS,General Mills Inc.,CONSUMER STAPLES,"48,512,369",22.0,"$3,285,257,000",0.09
222,PEG,Public Service Enterprise Group Incorporated,UTILITIES AND TELECOMMUNICATIONS,"51,849,257",28.0,"$3,281,020,983",0.09
223,DVN,Devon Energy Corporation,ENERGY,"54,981,392",35.0,"$3,251,050,000",0.09
224,RMD,ResMed Inc.,HEALTH CARE,"13,359,715",26.0,"$3,239,867,000",0.09
225,ES,Eversource Energy (D/B/A),UTILITIES AND TELECOMMUNICATIONS,"36,444,527",19.0,"$3,214,041,000",0.08
226,ORLY,O'Reilly Automotive Inc.,CONSUMER DISCRETIONARY,"4,690,726",13.0,"$3,212,961,000",0.08
227,IUSB,NaN,FINANCE,"64,203,003",NaN,"$3,186,395,000",0.08
228,ALL,Allstate Corporation (The),FINANCE,"22,998,311",19.0,"$3,185,497,000",0.08
229,SBAC,SBA Communications Corporation,UTILITIES AND TELECOMMUNICATIONS,"9,219,617",12.0,"$3,172,471,000",0.08
230,ABB,ABB Ltd,INDUSTRIALS,"101,521,183",NaN,"$3,144,111,038",0.08
231,CRWD,NaN,INFORMATION TECHNOLOGY,"13,715,896",NaN,"$3,114,606,000",0.08
232,BAX,Baxter International Inc.,HEALTH CARE,"39,996,135",24.0,"$3,101,300,000",0.08
233,KMI,Kinder Morgan Inc.,UTILITIES AND TELECOMMUNICATIONS,"163,931,651",19.0,"$3,099,947,000",0.08
234,MCHP,Microchip Technology Incorporated,INFORMATION TECHNOLOGY,"44,943,215",31.0,"$3,377,035,000",0.09
235,LHX,NaN,INFORMATION TECHNOLOGY,"12,454,934",,"$3,094,678,000",0.08
236,OKE,ONEOK Inc.,UTILITIES AND TELECOMMUNICATIONS,"43,648,209",24.0,"$3,082,875,000",0.08
237,HLT,Hilton Worldwide Holdings Inc.,CONSUMER DISCRETIONARY,"20,226,923",18.0,"$3,069,233,000",0.08
238,AZO,AutoZone Inc.,CONSUMER DISCRETIONARY,"1,500,992",11.0,"$3,068,897,000",0.08
239,ODFL,Old Dominion Freight Line Inc.,TRANSPORTS,"10,261,411",,"$3,064,880,000",0.08
240,ARE,Alexandria Real Estate Equities Inc.,REAL ESTATE,"15,139,838",15.0,"$3,046,894,000",0.08
241,WBD,NaN,COMMUNICATIONS,"167,322,661",,"$3,036,906,297",0.08
242,MPWR,Monolithic Power Systems Inc.,INFORMATION TECHNOLOGY,"6,249,482",,"$3,035,249,000",0.08
243,ENPH,Enphase Energy Inc.,INFORMATION TECHNOLOGY,"15,018,530",,"$3,030,439,000",0.08
244,PSX,Phillips 66,ENERGY,"35,037,013",29.0,"$3,026,848,000",0.08
245,CTAS,Cintas Corporation,INDUSTRIALS,"7,057,910",19.0,"$3,002,364,000",0.08
246,EXR,Extra Space Storage Inc,REAL ESTATE,"14,567,748",14.0,"$2,995,127,000",0.08
247,TROW,T. Rowe Price Group Inc.,FINANCE,"19,713,986",17.0,"$2,980,558,000",0.08
248,BIIB,Biogen Inc.,HEALTH CARE,"14,121,097",21.0,"$2,973,904,000",0.08
249,DOW,NaN,MATERIALS,"46,573,072",,"$2,967,636,000",0.08
250,SIVB,SVB Financial Group,FINANCE,"5,302,020",28.0,"$2,966,216,000",0.08
251,EA,Electronic Arts Inc.,INFORMATION TECHNOLOGY,"23,223,299",10.0,"$2,937,980,000",0.08
252,AFL,AFLAC Incorporated,FINANCE,"45,597,542",17.0,"$2,936,024,000",0.08
253,IEMG,iShares Core MSCI Emerging Markets,FINANCE,"52,819,783",NaN,"$2,934,139,000",0.08
254,CBRE,CBRE Group Inc Class A,REAL ESTATE,"31,997,854",7.0,"$2,928,443,000",0.08
255,MTD,Mettler-Toledo International Inc.,INFORMATION TECHNOLOGY,"2,127,758",13.0,"$2,921,815,000",0.08
256,HSY,The Hershey Company,CONSUMER STAPLES,"13,432,299",27.0,"$2,909,840,000",0.08
257,KEYS,Keysight Technologies Inc.,HEALTH CARE,"18,230,643",9.0,"$2,879,895,000",0.08
258,TT,NaN,INDUSTRIALS,"18,729,271",16.0,"$2,859,958,000",0.08
